system:index,auc,band_tag,blockSize_m,embedding_year,fold,kFolds,nBands,n_eval,n_neg,n_pos,run,scale_m,seedBgEval,seedBgHoldout,seedBgTrain,seedSplit,species,.geo
0_1_0,0.9375788692317208,A00_A07,100000,2023,0.0,10,8,1488,1370,118,cv,25000,52,62,42,101,Andrena fulva,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_1,0.9303057430106046,A00_A07,100000,2023,1.0,10,8,1476,1370,106,cv,25000,52,62,42,101,Andrena fulva,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_2,0.9223026436852113,A00_A07,100000,2023,2.0,10,8,1489,1370,119,cv,25000,52,62,42,101,Andrena fulva,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_3,0.9274106799846331,A00_A07,100000,2023,3.0,10,8,1484,1370,114,cv,25000,52,62,42,101,Andrena fulva,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_4,0.9193604449078902,A00_A07,100000,2023,4.0,10,8,1454,1370,84,cv,25000,52,62,42,101,Andrena fulva,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_5,0.929967113178792,A00_A07,100000,2023,5.0,10,8,1461,1370,91,cv,25000,52,62,42,101,Andrena fulva,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_6,0.9361347977351797,A00_A07,100000,2023,6.0,10,8,1477,1370,107,cv,25000,52,62,42,101,Andrena fulva,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_7,0.9274895724713242,A00_A07,100000,2023,7.0,10,8,1482,1370,112,cv,25000,52,62,42,101,Andrena fulva,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_8,0.9083719454141542,A00_A07,100000,2023,8.0,10,8,1485,1370,115,cv,25000,52,62,42,101,Andrena fulva,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_9,0.9164148701408928,A00_A07,100000,2023,9.0,10,8,1499,1370,129,cv,25000,52,62,42,101,Andrena fulva,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2_0,0.9187561310574848,A00_A07,100000,2023,-1,10,8,5567,5097,470,holdout,25000,52,62,42,101,Andrena fulva,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_0,0.937015959421007,A00_A15,100000,2023,0.0,10,16,1488,1370,118,cv,25000,52,62,42,101,Andrena fulva,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1,0.9315727861176146,A00_A15,100000,2023,1.0,10,16,1476,1370,106,cv,25000,52,62,42,101,Andrena fulva,"{""type"":""MultiPoint"",""coordinates"":[]}"
