Ursus arctos
Sus scrofa
Bos taurus
Canis lupus
Cervus elaphus
Equus ferus
Meles meles
Oryctolagus cuniculus
Alces alces
Vulpes vulpes
Grus grus
Pica pica
Aquila chrysaetos
Haliaeetus albicilla
Corvus corax
Ardea cinerea
Capreolus capreolus
Falco peregrinus
Lynx lynx
Tyto alba
Dendrocopos major
Larus argentatus
Erinaceus europaeus
Streptopelia turtur
Buteo buteo
Felis silvestris
Picus viridis
Milvus milvus
Falco tinnunculus
Mustela nivalis
Epidalea calamita
Pandion haliaetus
Numenius arquata
Mustela putorius
Formica rufa
Bombus pratorum
Mustela erminea
Bufo bufo
Saxicola torquata
Martes martes
Bombus jonellus
Lissotriton helveticus
Vespula vulgaris
Strix aluco
Otis tarda
Pluvialis apricaria
Passer montanus
Accipiter nisus
Myrmica ruginodis
Lasius flavus
Bombus hortorum
Bombus ruderatus
Apis mellifera
Bombus terrestris
Garrulus glandarius
Pyrrhocorax pyrrhocorax
Apodemus sylvaticus
Lissotriton vulgaris
Formica exsecta
Rana arvalis
Sciurus vulgaris
Lasius niger
Clethrionomys glareolus
Bombus pascuorum
Hyla arborea
Rana temporaria
Phoenicurus phoenicurus
Branta leucopsis
Perdix perdix
Coronella austriaca
Bombus monticola
Lucilia sericata
Formica lemani
Myrmica schencki
Myrmica sabuleti
Myrmica scabrinodis
Andrena fulva
Sorex araneus
Leptothorax acervorum
Emberiza schoeniclus
Sorex minutus
Tetrao tetrix
Crocidura russula
Carabus glabratus
Poecilus versicolor
Bison bonasus
Bubo bubo
Muscardinus avellanarius
Emys orbicularis
Pelophylax ridibundus
Pelophylax lessonae
Rana dalmatina
Zamenis longissimus
Zootoca vivipara
Lacerta agilis
Circus cyaneus
Ciconia nigra
Ciconia ciconia
Nycticorax nycticorax
Pelecanus crispus
